                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-12-2023 22:03:59:174:494                 initialised ncurses                                 -
  10-12-2023 22:03:59:174:520                        initial yMax                                 53
  10-12-2023 22:03:59:174:535                        initial xMax                                 78
  10-12-2023 22:03:59:174:549                           droneMaxY                                 26
  10-12-2023 22:03:59:174:563                           droneMaxX                                 76
  10-12-2023 22:03:59:175:232                   Created UIpidfifo                                 -
  10-12-2023 22:03:59:175:264                    Opened UIpidfifo                                 -
  10-12-2023 22:03:59:175:282                Sent pid to watchdog                                 -
  10-12-2023 22:03:59:175:311                 Opened sem_watchdog                                 -
  10-12-2023 22:03:59:175:332                 Opened shm_watchdog                                 -
  10-12-2023 22:03:59:175:492               received watchdog pid                                 -
  10-12-2023 22:03:59:175:508                        watchdog_pid                               3646
  10-12-2023 22:03:59:175:536              Created keypressedfifo                                 -
  10-12-2023 22:03:59:175:657                   Opened sem_window                                 -
  10-12-2023 22:03:59:175:695                   Opened shm_window                                 -
  10-12-2023 22:03:59:175:737                    Opened sem_drone                                 -
  10-12-2023 22:03:59:175:762                    Opened shm_drone                                 -
  10-12-2023 22:03:59:275:932                          user input                                 -1
  10-12-2023 22:03:59:275:983               passed input to drone                                 -
   10-12-2023 22:03:59:276:39         passed window size to drone                                 -
   10-12-2023 22:03:59:276:66                            yMax_now                                 53
   10-12-2023 22:03:59:276:90                            xMax_now                                 78
  10-12-2023 22:03:59:277:357                      dronePositionY                                 15
  10-12-2023 22:03:59:277:387                      dronePositionX                                 15
  10-12-2023 22:03:59:378:781                          user input                                 -1
  10-12-2023 22:03:59:378:832               passed input to drone                                 -
  10-12-2023 22:03:59:378:896         passed window size to drone                                 -
  10-12-2023 22:03:59:378:923                            yMax_now                                 53
  10-12-2023 22:03:59:378:949                            xMax_now                                 78
  10-12-2023 22:03:59:379:982                      dronePositionY                                 15
   10-12-2023 22:03:59:380:10                      dronePositionX                                 15
  10-12-2023 22:03:59:481:220                          user input                                 -1
  10-12-2023 22:03:59:481:262               passed input to drone                                 -
  10-12-2023 22:03:59:481:309         passed window size to drone                                 -
  10-12-2023 22:03:59:481:324                            yMax_now                                 53
  10-12-2023 22:03:59:481:339                            xMax_now                                 78
  10-12-2023 22:03:59:481:942                      dronePositionY                                 15
  10-12-2023 22:03:59:481:959                      dronePositionX                                 15
  10-12-2023 22:03:59:582:833                          user input                                 -1
  10-12-2023 22:03:59:582:942               passed input to drone                                 -
  10-12-2023 22:03:59:583:113         passed window size to drone                                 -
  10-12-2023 22:03:59:583:181                            yMax_now                                 53
  10-12-2023 22:03:59:583:232                            xMax_now                                 78
  10-12-2023 22:03:59:588:341                      dronePositionY                                 15
  10-12-2023 22:03:59:588:408                      dronePositionX                                 15
  10-12-2023 22:03:59:689:856                          user input                                 -1
  10-12-2023 22:03:59:689:969               passed input to drone                                 -
   10-12-2023 22:03:59:690:99         passed window size to drone                                 -
  10-12-2023 22:03:59:690:176                            yMax_now                                 53
  10-12-2023 22:03:59:690:282                            xMax_now                                 78
   10-12-2023 22:03:59:695:44                      dronePositionY                                 15
  10-12-2023 22:03:59:695:107                      dronePositionX                                 15
  10-12-2023 22:03:59:800:174                          user input                                 -1
  10-12-2023 22:03:59:800:282               passed input to drone                                 -
  10-12-2023 22:03:59:800:412         passed window size to drone                                 -
  10-12-2023 22:03:59:800:486                            yMax_now                                 53
  10-12-2023 22:03:59:800:538                            xMax_now                                 78
  10-12-2023 22:03:59:805:497                      dronePositionY                                 15
  10-12-2023 22:03:59:805:573                      dronePositionX                                 15
  10-12-2023 22:03:59:911:268                          user input                                 -1
  10-12-2023 22:03:59:911:382               passed input to drone                                 -
  10-12-2023 22:03:59:911:513         passed window size to drone                                 -
  10-12-2023 22:03:59:911:594                            yMax_now                                 53
  10-12-2023 22:03:59:911:650                            xMax_now                                 78
  10-12-2023 22:03:59:916:605                      dronePositionY                                 15
  10-12-2023 22:03:59:916:679                      dronePositionX                                 15
   10-12-2023 22:04:00:22:117                          user input                                 -1
   10-12-2023 22:04:00:22:150               passed input to drone                                 -
   10-12-2023 22:04:00:22:195         passed window size to drone                                 -
   10-12-2023 22:04:00:22:211                            yMax_now                                 53
   10-12-2023 22:04:00:22:224                            xMax_now                                 78
   10-12-2023 22:04:00:22:730                      dronePositionY                                 15
   10-12-2023 22:04:00:22:745                      dronePositionX                                 15
  10-12-2023 22:04:00:123:425                          user input                                 -1
  10-12-2023 22:04:00:123:518               passed input to drone                                 -
  10-12-2023 22:04:00:123:623         passed window size to drone                                 -
  10-12-2023 22:04:00:123:671                            yMax_now                                 53
  10-12-2023 22:04:00:123:716                            xMax_now                                 78
  10-12-2023 22:04:00:125:552                      dronePositionY                                 15
  10-12-2023 22:04:00:125:601                      dronePositionX                                 15
  10-12-2023 22:04:00:227:637                          user input                                 -1
  10-12-2023 22:04:00:227:756               passed input to drone                                 -
  10-12-2023 22:04:00:227:864         passed window size to drone                                 -
  10-12-2023 22:04:00:227:912                            yMax_now                                 53
  10-12-2023 22:04:00:227:957                            xMax_now                                 78
  10-12-2023 22:04:00:229:795                      dronePositionY                                 15
  10-12-2023 22:04:00:229:844                      dronePositionX                                 15
  10-12-2023 22:04:00:332:459                          user input                                 -1
  10-12-2023 22:04:00:332:571               passed input to drone                                 -
  10-12-2023 22:04:00:332:691         passed window size to drone                                 -
  10-12-2023 22:04:00:332:746                            yMax_now                                 53
  10-12-2023 22:04:00:332:798                            xMax_now                                 78
  10-12-2023 22:04:00:334:888                      dronePositionY                                 15
  10-12-2023 22:04:00:334:950                      dronePositionX                                 15
  10-12-2023 22:04:00:437:188                          user input                                 -1
  10-12-2023 22:04:00:437:294               passed input to drone                                 -
  10-12-2023 22:04:00:437:413         passed window size to drone                                 -
  10-12-2023 22:04:00:437:466                            yMax_now                                 53
  10-12-2023 22:04:00:437:517                            xMax_now                                 78
  10-12-2023 22:04:00:439:641                      dronePositionY                                 15
  10-12-2023 22:04:00:439:704                      dronePositionX                                 15
  10-12-2023 22:04:00:541:972                          user input                                 -1
   10-12-2023 22:04:00:542:67               passed input to drone                                 -
  10-12-2023 22:04:00:542:175         passed window size to drone                                 -
  10-12-2023 22:04:00:542:288                            yMax_now                                 53
  10-12-2023 22:04:00:542:339                            xMax_now                                 78
  10-12-2023 22:04:00:544:299                      dronePositionY                                 15
  10-12-2023 22:04:00:544:357                      dronePositionX                                 15
  10-12-2023 22:04:00:646:355                          user input                                 -1
  10-12-2023 22:04:00:646:447               passed input to drone                                 -
  10-12-2023 22:04:00:646:555         passed window size to drone                                 -
  10-12-2023 22:04:00:646:604                            yMax_now                                 53
  10-12-2023 22:04:00:646:650                            xMax_now                                 78
  10-12-2023 22:04:00:648:494                      dronePositionY                                 15
  10-12-2023 22:04:00:648:544                      dronePositionX                                 15
  10-12-2023 22:04:00:750:713                          user input                                 -1
  10-12-2023 22:04:00:750:809               passed input to drone                                 -
  10-12-2023 22:04:00:750:918         passed window size to drone                                 -
  10-12-2023 22:04:00:750:966                            yMax_now                                 53
   10-12-2023 22:04:00:751:11                            xMax_now                                 78
  10-12-2023 22:04:00:752:827                      dronePositionY                                 15
  10-12-2023 22:04:00:752:876                      dronePositionX                                 15
  10-12-2023 22:04:00:854:975                          user input                                 -1
   10-12-2023 22:04:00:855:70               passed input to drone                                 -
  10-12-2023 22:04:00:855:177         passed window size to drone                                 -
  10-12-2023 22:04:00:855:225                            yMax_now                                 53
  10-12-2023 22:04:00:855:270                            xMax_now                                 78
  10-12-2023 22:04:00:857:218                      dronePositionY                                 15
  10-12-2023 22:04:00:857:275                      dronePositionX                                 15
  10-12-2023 22:04:00:959:578                          user input                                 -1
  10-12-2023 22:04:00:959:678               passed input to drone                                 -
  10-12-2023 22:04:00:959:787         passed window size to drone                                 -
  10-12-2023 22:04:00:959:835                            yMax_now                                 53
  10-12-2023 22:04:00:959:881                            xMax_now                                 78
  10-12-2023 22:04:00:961:814                      dronePositionY                                 15
  10-12-2023 22:04:00:961:871                      dronePositionX                                 15
   10-12-2023 22:04:01:64:563                          user input                                 -1
   10-12-2023 22:04:01:64:671               passed input to drone                                 -
   10-12-2023 22:04:01:64:791         passed window size to drone                                 -
   10-12-2023 22:04:01:64:845                            yMax_now                                 53
   10-12-2023 22:04:01:64:896                            xMax_now                                 78
   10-12-2023 22:04:01:66:848                      dronePositionY                                 15
   10-12-2023 22:04:01:66:905                      dronePositionX                                 15
  10-12-2023 22:04:01:168:958                          user input                                 -1
   10-12-2023 22:04:01:169:64               passed input to drone                                 -
  10-12-2023 22:04:01:169:184         passed window size to drone                                 -
  10-12-2023 22:04:01:169:237                            yMax_now                                 53
  10-12-2023 22:04:01:169:288                            xMax_now                                 78
  10-12-2023 22:04:01:171:405                      dronePositionY                                 15
  10-12-2023 22:04:01:171:468                      dronePositionX                                 15
  10-12-2023 22:04:01:274:159                          user input                                 -1
  10-12-2023 22:04:01:274:204               passed input to drone                                 -
  10-12-2023 22:04:01:274:237         passed window size to drone                                 -
  10-12-2023 22:04:01:274:249                            yMax_now                                 53
  10-12-2023 22:04:01:274:261                            xMax_now                                 78
  10-12-2023 22:04:01:274:733                      dronePositionY                                 15
  10-12-2023 22:04:01:274:746                      dronePositionX                                 15
  10-12-2023 22:04:01:375:656                          user input                                 -1
  10-12-2023 22:04:01:375:766               passed input to drone                                 -
  10-12-2023 22:04:01:375:885         passed window size to drone                                 -
  10-12-2023 22:04:01:375:939                            yMax_now                                 53
  10-12-2023 22:04:01:375:990                            xMax_now                                 78
   10-12-2023 22:04:01:378:89                      dronePositionY                                 15
  10-12-2023 22:04:01:378:144                      dronePositionX                                 15
  10-12-2023 22:04:01:480:818                          user input                                 -1
  10-12-2023 22:04:01:480:926               passed input to drone                                 -
   10-12-2023 22:04:01:481:46         passed window size to drone                                 -
  10-12-2023 22:04:01:481:100                            yMax_now                                 53
  10-12-2023 22:04:01:481:151                            xMax_now                                 78
  10-12-2023 22:04:01:483:273                      dronePositionY                                 15
  10-12-2023 22:04:01:483:338                      dronePositionX                                 15
  10-12-2023 22:04:01:585:861                          user input                                 -1
  10-12-2023 22:04:01:585:969               passed input to drone                                 -
   10-12-2023 22:04:01:586:89         passed window size to drone                                 -
  10-12-2023 22:04:01:586:143                            yMax_now                                 53
  10-12-2023 22:04:01:586:243                            xMax_now                                 78
  10-12-2023 22:04:01:588:326                      dronePositionY                                 15
  10-12-2023 22:04:01:588:383                      dronePositionX                                 15
  10-12-2023 22:04:01:690:777                          user input                                 -1
  10-12-2023 22:04:01:690:887               passed input to drone                                 -
    10-12-2023 22:04:01:691:6         passed window size to drone                                 -
   10-12-2023 22:04:01:691:60                            yMax_now                                 53
  10-12-2023 22:04:01:691:112                            xMax_now                                 78
  10-12-2023 22:04:01:693:183                      dronePositionY                                 15
  10-12-2023 22:04:01:693:238                      dronePositionX                                 15
  10-12-2023 22:04:01:795:755                          user input                                 -1
  10-12-2023 22:04:01:795:862               passed input to drone                                 -
  10-12-2023 22:04:01:795:980         passed window size to drone                                 -
   10-12-2023 22:04:01:796:34                            yMax_now                                 53
   10-12-2023 22:04:01:796:85                            xMax_now                                 78
  10-12-2023 22:04:01:798:153                      dronePositionY                                 15
  10-12-2023 22:04:01:798:242                      dronePositionX                                 15
  10-12-2023 22:04:01:900:874                          user input                                 -1
  10-12-2023 22:04:01:900:972               passed input to drone                                 -
   10-12-2023 22:04:01:901:82         passed window size to drone                                 -
  10-12-2023 22:04:01:901:131                            yMax_now                                 53
  10-12-2023 22:04:01:901:177                            xMax_now                                 78
