                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  10-12-2023 22:03:59:165:401                Created dronepidfifo                                 -
  10-12-2023 22:03:59:175:316                 Opened dronepidfifo                                 -
  10-12-2023 22:03:59:175:365                           Drone PID                               3645
  10-12-2023 22:03:59:175:408                 Opened sem_watchdog                                 -
  10-12-2023 22:03:59:175:444                 Opened shm_watchdog                                 -
  10-12-2023 22:03:59:175:550               received watchdog pid                                 -
  10-12-2023 22:03:59:175:569                        Watchdog PID                               3646
  10-12-2023 22:03:59:175:589               Opened keypressedfifo                                 -
  10-12-2023 22:03:59:175:616                   Opened sem_window                                 -
  10-12-2023 22:03:59:175:639                   Opened shm_window                                 -
  10-12-2023 22:03:59:175:670                    Opened sem_drone                                 -
  10-12-2023 22:03:59:175:693                    Opened shm_drone                                 -
  10-12-2023 22:03:59:185:777                            keyvalue                                  0
  10-12-2023 22:03:59:185:805                           droneMaxY                                  0
  10-12-2023 22:03:59:185:822                           droneMaxX                                  0
  10-12-2023 22:03:59:185:838                      DronePositionY                                 15
  10-12-2023 22:03:59:185:853                      DronePositionY                                 15
  10-12-2023 22:03:59:185:869                              ForceY                                  0
  10-12-2023 22:03:59:185:884                              forceX                                  0
  10-12-2023 22:03:59:185:904                 Sent dronepos to UI                                 -
   10-12-2023 22:03:59:286:35                            keyvalue                                 -1
   10-12-2023 22:03:59:286:70                           droneMaxY                                 26
   10-12-2023 22:03:59:286:92                           droneMaxX                                 76
  10-12-2023 22:03:59:286:108                      DronePositionY                                 15
  10-12-2023 22:03:59:286:124                      DronePositionY                                 15
  10-12-2023 22:03:59:286:139                              ForceY                                  0
  10-12-2023 22:03:59:286:156                              forceX                                  0
  10-12-2023 22:03:59:286:177                 Sent dronepos to UI                                 -
  10-12-2023 22:03:59:386:328                            keyvalue                                 -1
  10-12-2023 22:03:59:386:362                           droneMaxY                                 26
  10-12-2023 22:03:59:386:383                           droneMaxX                                 76
  10-12-2023 22:03:59:386:403                      DronePositionY                                 15
  10-12-2023 22:03:59:386:423                      DronePositionY                                 15
  10-12-2023 22:03:59:386:443                              ForceY                                  0
  10-12-2023 22:03:59:386:463                              forceX                                  0
  10-12-2023 22:03:59:386:483                 Sent dronepos to UI                                 -
  10-12-2023 22:03:59:486:663                            keyvalue                                 -1
  10-12-2023 22:03:59:486:696                           droneMaxY                                 26
  10-12-2023 22:03:59:486:711                           droneMaxX                                 76
  10-12-2023 22:03:59:486:726                      DronePositionY                                 15
  10-12-2023 22:03:59:486:755                      DronePositionY                                 15
  10-12-2023 22:03:59:486:770                              ForceY                                  0
  10-12-2023 22:03:59:486:784                              forceX                                  0
  10-12-2023 22:03:59:486:799                 Sent dronepos to UI                                 -
   10-12-2023 22:03:59:587:52                            keyvalue                                 -1
  10-12-2023 22:03:59:587:139                           droneMaxY                                 26
  10-12-2023 22:03:59:587:192                           droneMaxX                                 76
  10-12-2023 22:03:59:587:242                      DronePositionY                                 15
  10-12-2023 22:03:59:587:292                      DronePositionY                                 15
  10-12-2023 22:03:59:587:342                              ForceY                                  0
  10-12-2023 22:03:59:587:391                              forceX                                  0
  10-12-2023 22:03:59:587:441                 Sent dronepos to UI                                 -
   10-12-2023 22:03:59:690:91                            keyvalue                                 -1
  10-12-2023 22:03:59:690:173                           droneMaxY                                 26
  10-12-2023 22:03:59:690:287                           droneMaxX                                 76
  10-12-2023 22:03:59:690:340                      DronePositionY                                 15
  10-12-2023 22:03:59:690:391                      DronePositionY                                 15
  10-12-2023 22:03:59:690:440                              ForceY                                  0
  10-12-2023 22:03:59:690:491                              forceX                                  0
  10-12-2023 22:03:59:690:542                 Sent dronepos to UI                                 -
  10-12-2023 22:03:59:800:406                            keyvalue                                 -1
  10-12-2023 22:03:59:800:486                           droneMaxY                                 26
  10-12-2023 22:03:59:800:541                           droneMaxX                                 76
  10-12-2023 22:03:59:800:592                      DronePositionY                                 15
  10-12-2023 22:03:59:800:643                      DronePositionY                                 15
  10-12-2023 22:03:59:800:693                              ForceY                                  0
  10-12-2023 22:03:59:800:744                              forceX                                  0
  10-12-2023 22:03:59:800:796                 Sent dronepos to UI                                 -
  10-12-2023 22:03:59:911:471                            keyvalue                                 -1
  10-12-2023 22:03:59:911:553                           droneMaxY                                 26
  10-12-2023 22:03:59:911:607                           droneMaxX                                 76
  10-12-2023 22:03:59:911:658                      DronePositionY                                 15
  10-12-2023 22:03:59:911:709                      DronePositionY                                 15
  10-12-2023 22:03:59:911:759                              ForceY                                  0
  10-12-2023 22:03:59:911:809                              forceX                                  0
  10-12-2023 22:03:59:911:860                 Sent dronepos to UI                                 -
   10-12-2023 22:04:00:22:225                            keyvalue                                 -1
   10-12-2023 22:04:00:22:247                           droneMaxY                                 26
   10-12-2023 22:04:00:22:260                           droneMaxX                                 76
   10-12-2023 22:04:00:22:273                      DronePositionY                                 15
   10-12-2023 22:04:00:22:287                      DronePositionY                                 15
   10-12-2023 22:04:00:22:310                              ForceY                                  0
   10-12-2023 22:04:00:22:324                              forceX                                  0
   10-12-2023 22:04:00:22:337                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:123:630                            keyvalue                                 -1
  10-12-2023 22:04:00:123:701                           droneMaxY                                 26
  10-12-2023 22:04:00:123:749                           droneMaxX                                 76
  10-12-2023 22:04:00:123:794                      DronePositionY                                 15
  10-12-2023 22:04:00:123:838                      DronePositionY                                 15
  10-12-2023 22:04:00:123:882                              ForceY                                  0
  10-12-2023 22:04:00:123:926                              forceX                                  0
  10-12-2023 22:04:00:123:970                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:227:869                            keyvalue                                 -1
  10-12-2023 22:04:00:227:941                           droneMaxY                                 26
  10-12-2023 22:04:00:227:989                           droneMaxX                                 76
   10-12-2023 22:04:00:228:34                      DronePositionY                                 15
   10-12-2023 22:04:00:228:78                      DronePositionY                                 15
  10-12-2023 22:04:00:228:122                              ForceY                                  0
  10-12-2023 22:04:00:228:166                              forceX                                  0
  10-12-2023 22:04:00:228:210                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:332:690                            keyvalue                                 -1
  10-12-2023 22:04:00:332:774                           droneMaxY                                 26
  10-12-2023 22:04:00:332:829                           droneMaxX                                 76
  10-12-2023 22:04:00:332:881                      DronePositionY                                 15
  10-12-2023 22:04:00:332:932                      DronePositionY                                 15
  10-12-2023 22:04:00:332:983                              ForceY                                  0
   10-12-2023 22:04:00:333:34                              forceX                                  0
   10-12-2023 22:04:00:333:85                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:437:420                            keyvalue                                 -1
  10-12-2023 22:04:00:437:499                           droneMaxY                                 26
  10-12-2023 22:04:00:437:553                           droneMaxX                                 76
  10-12-2023 22:04:00:437:604                      DronePositionY                                 15
  10-12-2023 22:04:00:437:653                      DronePositionY                                 15
  10-12-2023 22:04:00:437:701                              ForceY                                  0
  10-12-2023 22:04:00:437:751                              forceX                                  0
  10-12-2023 22:04:00:437:800                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:542:203                            keyvalue                                 -1
  10-12-2023 22:04:00:542:277                           droneMaxY                                 26
  10-12-2023 22:04:00:542:325                           droneMaxX                                 76
  10-12-2023 22:04:00:542:370                      DronePositionY                                 15
  10-12-2023 22:04:00:542:415                      DronePositionY                                 15
  10-12-2023 22:04:00:542:483                              ForceY                                  0
  10-12-2023 22:04:00:542:528                              forceX                                  0
  10-12-2023 22:04:00:542:573                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:646:530                            keyvalue                                 -1
  10-12-2023 22:04:00:646:636                           droneMaxY                                 26
  10-12-2023 22:04:00:646:709                           droneMaxX                                 76
  10-12-2023 22:04:00:646:779                      DronePositionY                                 15
  10-12-2023 22:04:00:646:855                      DronePositionY                                 15
  10-12-2023 22:04:00:646:922                              ForceY                                  0
  10-12-2023 22:04:00:646:986                              forceX                                  0
   10-12-2023 22:04:00:647:51                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:750:927                            keyvalue                                 -1
  10-12-2023 22:04:00:750:998                           droneMaxY                                 26
   10-12-2023 22:04:00:751:47                           droneMaxX                                 76
   10-12-2023 22:04:00:751:92                      DronePositionY                                 15
  10-12-2023 22:04:00:751:136                      DronePositionY                                 15
  10-12-2023 22:04:00:751:180                              ForceY                                  0
  10-12-2023 22:04:00:751:224                              forceX                                  0
  10-12-2023 22:04:00:751:268                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:855:195                            keyvalue                                 -1
  10-12-2023 22:04:00:855:301                           droneMaxY                                 26
  10-12-2023 22:04:00:855:380                           droneMaxX                                 76
  10-12-2023 22:04:00:855:431                      DronePositionY                                 15
  10-12-2023 22:04:00:855:476                      DronePositionY                                 15
  10-12-2023 22:04:00:855:521                              ForceY                                  0
  10-12-2023 22:04:00:855:591                              forceX                                  0
  10-12-2023 22:04:00:855:669                 Sent dronepos to UI                                 -
  10-12-2023 22:04:00:959:796                            keyvalue                                 -1
  10-12-2023 22:04:00:959:870                           droneMaxY                                 26
  10-12-2023 22:04:00:959:919                           droneMaxX                                 76
  10-12-2023 22:04:00:959:965                      DronePositionY                                 15
   10-12-2023 22:04:00:960:10                      DronePositionY                                 15
   10-12-2023 22:04:00:960:56                              ForceY                                  0
  10-12-2023 22:04:00:960:102                              forceX                                  0
  10-12-2023 22:04:00:960:147                 Sent dronepos to UI                                 -
   10-12-2023 22:04:01:64:785                            keyvalue                                 -1
   10-12-2023 22:04:01:64:865                           droneMaxY                                 26
   10-12-2023 22:04:01:64:919                           droneMaxX                                 76
   10-12-2023 22:04:01:64:971                      DronePositionY                                 15
    10-12-2023 22:04:01:65:22                      DronePositionY                                 15
    10-12-2023 22:04:01:65:74                              ForceY                                  0
   10-12-2023 22:04:01:65:176                              forceX                                  0
   10-12-2023 22:04:01:65:224                 Sent dronepos to UI                                 -
  10-12-2023 22:04:01:169:190                            keyvalue                                 -1
  10-12-2023 22:04:01:169:269                           droneMaxY                                 26
  10-12-2023 22:04:01:169:323                           droneMaxX                                 76
  10-12-2023 22:04:01:169:373                      DronePositionY                                 15
  10-12-2023 22:04:01:169:422                      DronePositionY                                 15
  10-12-2023 22:04:01:169:472                              ForceY                                  0
  10-12-2023 22:04:01:169:521                              forceX                                  0
  10-12-2023 22:04:01:169:572                 Sent dronepos to UI                                 -
  10-12-2023 22:04:01:274:314                            keyvalue                                 -1
  10-12-2023 22:04:01:274:333                           droneMaxY                                 26
  10-12-2023 22:04:01:274:346                           droneMaxX                                 76
  10-12-2023 22:04:01:274:358                      DronePositionY                                 15
  10-12-2023 22:04:01:274:369                      DronePositionY                                 15
  10-12-2023 22:04:01:274:381                              ForceY                                  0
  10-12-2023 22:04:01:274:392                              forceX                                  0
  10-12-2023 22:04:01:274:404                 Sent dronepos to UI                                 -
  10-12-2023 22:04:01:375:882                            keyvalue                                 -1
  10-12-2023 22:04:01:375:961                           droneMaxY                                 26
   10-12-2023 22:04:01:376:14                           droneMaxX                                 76
   10-12-2023 22:04:01:376:66                      DronePositionY                                 15
  10-12-2023 22:04:01:376:117                      DronePositionY                                 15
  10-12-2023 22:04:01:376:168                              ForceY                                  0
  10-12-2023 22:04:01:376:220                              forceX                                  0
  10-12-2023 22:04:01:376:271                 Sent dronepos to UI                                 -
   10-12-2023 22:04:01:481:46                            keyvalue                                 -1
  10-12-2023 22:04:01:481:125                           droneMaxY                                 26
  10-12-2023 22:04:01:481:179                           droneMaxX                                 76
  10-12-2023 22:04:01:481:231                      DronePositionY                                 15
  10-12-2023 22:04:01:481:282                      DronePositionY                                 15
  10-12-2023 22:04:01:481:334                              ForceY                                  0
  10-12-2023 22:04:01:481:386                              forceX                                  0
  10-12-2023 22:04:01:481:438                 Sent dronepos to UI                                 -
   10-12-2023 22:04:01:586:85                            keyvalue                                 -1
  10-12-2023 22:04:01:586:164                           droneMaxY                                 26
  10-12-2023 22:04:01:586:275                           droneMaxX                                 76
  10-12-2023 22:04:01:586:329                      DronePositionY                                 15
  10-12-2023 22:04:01:586:381                      DronePositionY                                 15
  10-12-2023 22:04:01:586:430                              ForceY                                  0
  10-12-2023 22:04:01:586:481                              forceX                                  0
  10-12-2023 22:04:01:586:562                 Sent dronepos to UI                                 -
    10-12-2023 22:04:01:691:2                            keyvalue                                 -1
   10-12-2023 22:04:01:691:81                           droneMaxY                                 26
  10-12-2023 22:04:01:691:135                           droneMaxX                                 76
  10-12-2023 22:04:01:691:186                      DronePositionY                                 15
  10-12-2023 22:04:01:691:237                      DronePositionY                                 15
  10-12-2023 22:04:01:691:290                              ForceY                                  0
  10-12-2023 22:04:01:691:341                              forceX                                  0
  10-12-2023 22:04:01:691:394                 Sent dronepos to UI                                 -
  10-12-2023 22:04:01:795:979                            keyvalue                                 -1
   10-12-2023 22:04:01:796:59                           droneMaxY                                 26
  10-12-2023 22:04:01:796:112                           droneMaxX                                 76
  10-12-2023 22:04:01:796:163                      DronePositionY                                 15
  10-12-2023 22:04:01:796:214                      DronePositionY                                 15
  10-12-2023 22:04:01:796:266                              ForceY                                  0
  10-12-2023 22:04:01:796:317                              forceX                                  0
  10-12-2023 22:04:01:796:367                 Sent dronepos to UI                                 -
   10-12-2023 22:04:01:901:89                            keyvalue                                 -1
  10-12-2023 22:04:01:901:161                           droneMaxY                                 26
  10-12-2023 22:04:01:901:209                           droneMaxX                                 76
  10-12-2023 22:04:01:901:255                      DronePositionY                                 15
  10-12-2023 22:04:01:901:302                      DronePositionY                                 15
  10-12-2023 22:04:01:901:347                              ForceY                                  0
  10-12-2023 22:04:01:901:393                              forceX                                  0
  10-12-2023 22:04:01:901:438                 Sent dronepos to UI                                 -
    10-12-2023 22:04:02:5:800                            keyvalue                                 -1
    10-12-2023 22:04:02:5:879                           droneMaxY                                 26
    10-12-2023 22:04:02:5:933                           droneMaxX                                 76
    10-12-2023 22:04:02:5:984                      DronePositionY                                 15
     10-12-2023 22:04:02:6:35                      DronePositionY                                 15
     10-12-2023 22:04:02:6:86                              ForceY                                  0
    10-12-2023 22:04:02:6:136                              forceX                                  0
    10-12-2023 22:04:02:6:223                 Sent dronepos to UI                                 -
  10-12-2023 22:04:02:110:982                            keyvalue                                 -1
   10-12-2023 22:04:02:111:62                           droneMaxY                                 26
  10-12-2023 22:04:02:111:115                           droneMaxX                                 76
  10-12-2023 22:04:02:111:167                      DronePositionY                                 15
  10-12-2023 22:04:02:111:218                      DronePositionY                                 15
  10-12-2023 22:04:02:111:269                              ForceY                                  0
  10-12-2023 22:04:02:111:320                              forceX                                  0
  10-12-2023 22:04:02:111:399                 Sent dronepos to UI                                 -
  10-12-2023 22:04:02:215:975                            keyvalue                                 -1
   10-12-2023 22:04:02:216:60                           droneMaxY                                 26
  10-12-2023 22:04:02:216:114                           droneMaxX                                 76
  10-12-2023 22:04:02:216:166                      DronePositionY                                 15
  10-12-2023 22:04:02:216:217                      DronePositionY                                 15
  10-12-2023 22:04:02:216:269                              ForceY                                  0
  10-12-2023 22:04:02:216:320                              forceX                                  0
  10-12-2023 22:04:02:216:372                 Sent dronepos to UI                                 -
  10-12-2023 22:04:02:316:912                            keyvalue                                 -1
  10-12-2023 22:04:02:316:990                           droneMaxY                                 26
   10-12-2023 22:04:02:317:38                           droneMaxX                                 76
   10-12-2023 22:04:02:317:84                      DronePositionY                                 15
  10-12-2023 22:04:02:317:128                      DronePositionY                                 15
  10-12-2023 22:04:02:317:173                              ForceY                                  0
  10-12-2023 22:04:02:317:217                              forceX                                  0
  10-12-2023 22:04:02:317:262                 Sent dronepos to UI                                 -
  10-12-2023 22:04:02:382:302                            keyvalue                                 -1
  10-12-2023 22:04:02:382:383                           droneMaxY                                 26
  10-12-2023 22:04:02:382:438                           droneMaxX                                 76
  10-12-2023 22:04:02:382:490                      DronePositionY                                 15
  10-12-2023 22:04:02:382:542                      DronePositionY                                 15
  10-12-2023 22:04:02:382:593                              ForceY                                  0
  10-12-2023 22:04:02:382:643                              forceX                                  0
  10-12-2023 22:04:02:382:697                 Sent dronepos to UI                                 -
