                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  12-12-2023 02:29:30:269:200               Created serverpidfifo                                 -
  12-12-2023 02:29:30:269:230                Opened serverpidfifo                                 -
  12-12-2023 02:29:30:269:262                sent pid to watchdog                                 -
  12-12-2023 02:29:30:269:302                 Opened sem_watchdog                                 -
  12-12-2023 02:29:30:269:334                 Opened shm_watchdog                                 -
  12-12-2023 02:29:30:275:860               received watchdog pid                                 -
  12-12-2023 02:29:30:275:891                        watchdog_pid                              39625
  12-12-2023 02:29:30:275:929                  Created sem_window                                 -
  12-12-2023 02:29:30:275:961                  Created shm_window                                 -
    12-12-2023 02:29:30:276:8                   Created sem_drone                                 -
   12-12-2023 02:29:30:276:38                   Created shm_drone                                 -
  12-12-2023 02:29:30:376:236            Server performed 1 cycle                                 -
  12-12-2023 02:29:30:476:546            Server performed 1 cycle                                 -
  12-12-2023 02:29:30:576:837            Server performed 1 cycle                                 -
  12-12-2023 02:29:30:677:341            Server performed 1 cycle                                 -
  12-12-2023 02:29:30:777:575            Server performed 1 cycle                                 -
  12-12-2023 02:29:30:877:844            Server performed 1 cycle                                 -
   12-12-2023 02:29:30:978:48            Server performed 1 cycle                                 -
   12-12-2023 02:29:31:78:267            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:178:556            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:278:853            Server performed 1 cycle                                 -
   12-12-2023 02:29:31:379:42            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:479:324            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:579:608            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:679:899            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:780:143            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:880:402            Server performed 1 cycle                                 -
  12-12-2023 02:29:31:980:965            Server performed 1 cycle                                 -
   12-12-2023 02:29:32:81:141            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:181:663            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:281:773            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:381:931            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:482:208            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:582:668            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:682:949            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:783:237            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:883:703            Server performed 1 cycle                                 -
  12-12-2023 02:29:32:984:256            Server performed 1 cycle                                 -
   12-12-2023 02:29:33:84:800            Server performed 1 cycle                                 -
  12-12-2023 02:29:33:185:520            Server performed 1 cycle                                 -
  12-12-2023 02:29:33:286:116            Server performed 1 cycle                                 -
  12-12-2023 02:29:33:386:471            Server performed 1 cycle                                 -
