                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  09-12-2023 05:47:18:641:443                 initialised ncurses                                 -
  09-12-2023 05:47:18:641:490                        initial yMax                                 53
  09-12-2023 05:47:18:641:525                        initial xMax                                100
  09-12-2023 05:47:18:641:549                           droneMaxY                                 26
  09-12-2023 05:47:18:641:570                           droneMaxX                                 98
  09-12-2023 05:47:18:643:427                   Created UIpidfifo                                 -
    09-12-2023 05:47:19:6:683                    Opened UIpidfifo                                 -
    09-12-2023 05:47:19:6:736                Sent pid to watchdog                                 -
    09-12-2023 05:47:19:6:775                 Opened sem_watchdog                                 -
    09-12-2023 05:47:19:6:822                 Opened shm_watchdog                                 -
   09-12-2023 05:47:19:439:14               received watchdog pid                                 -
   09-12-2023 05:47:19:439:52                        watchdog_pid                             177984
   09-12-2023 05:47:19:439:97              Created keypressedfifo                                 -
  09-12-2023 05:47:19:439:141                   Opened sem_window                                 -
  09-12-2023 05:47:19:439:223                   Opened shm_window                                 -
  09-12-2023 05:47:19:439:317                    Opened sem_drone                                 -
  09-12-2023 05:47:19:439:348                    Opened shm_drone                                 -
  09-12-2023 05:47:19:539:577                          user input                                 -1
  09-12-2023 05:47:19:539:690               passed input to drone                                 -
  09-12-2023 05:47:19:539:801         passed window size to drone                                 -
  09-12-2023 05:47:19:539:858                            yMax_now                                 53
  09-12-2023 05:47:19:539:913                            xMax_now                                100
    09-12-2023 05:47:19:544:5                      dronePositionY                                 15
   09-12-2023 05:47:19:544:77                      dronePositionX                                 15
  09-12-2023 05:47:19:648:319                          user input                                 -1
  09-12-2023 05:47:19:648:419               passed input to drone                                 -
  09-12-2023 05:47:19:648:532         passed window size to drone                                 -
  09-12-2023 05:47:19:648:590                            yMax_now                                 53
  09-12-2023 05:47:19:648:644                            xMax_now                                100
  09-12-2023 05:47:19:651:979                      dronePositionY                                 15
   09-12-2023 05:47:19:652:72                      dronePositionX                                 15
  09-12-2023 05:47:19:756:765                          user input                                 -1
  09-12-2023 05:47:19:756:869               passed input to drone                                 -
  09-12-2023 05:47:19:756:986         passed window size to drone                                 -
   09-12-2023 05:47:19:757:43                            yMax_now                                 53
   09-12-2023 05:47:19:757:88                            xMax_now                                100
  09-12-2023 05:47:19:761:187                      dronePositionY                                 15
  09-12-2023 05:47:19:761:253                      dronePositionX                                 15
  09-12-2023 05:47:19:865:347                          user input                                 -1
  09-12-2023 05:47:19:870:508               passed input to drone                                 -
  09-12-2023 05:47:19:870:672         passed window size to drone                                 -
  09-12-2023 05:47:19:870:738                            yMax_now                                 53
  09-12-2023 05:47:19:870:793                            xMax_now                                100
   09-12-2023 05:47:19:875:62                      dronePositionY                                 15
  09-12-2023 05:47:19:875:262                      dronePositionX                                 15
  09-12-2023 05:47:19:979:766                          user input                                 -1
  09-12-2023 05:47:19:979:878               passed input to drone                                 -
    09-12-2023 05:47:19:980:9         passed window size to drone                                 -
   09-12-2023 05:47:19:980:76                            yMax_now                                 53
  09-12-2023 05:47:19:980:129                            xMax_now                                100
  09-12-2023 05:47:19:984:764                      dronePositionY                                 15
  09-12-2023 05:47:19:984:840                      dronePositionX                                 15
   09-12-2023 05:47:20:89:865                          user input                                 -1
   09-12-2023 05:47:20:89:985               passed input to drone                                 -
   09-12-2023 05:47:20:90:103         passed window size to drone                                 -
   09-12-2023 05:47:20:90:160                            yMax_now                                 53
   09-12-2023 05:47:20:90:215                            xMax_now                                100
   09-12-2023 05:47:20:92:300                      dronePositionY                                 15
   09-12-2023 05:47:20:92:398                      dronePositionX                                 15
  09-12-2023 05:47:20:195:448                          user input                                 -1
  09-12-2023 05:47:20:195:568               passed input to drone                                 -
  09-12-2023 05:47:20:195:686         passed window size to drone                                 -
  09-12-2023 05:47:20:195:741                            yMax_now                                 53
  09-12-2023 05:47:20:195:794                            xMax_now                                100
  09-12-2023 05:47:20:199:561                      dronePositionY                                 15
  09-12-2023 05:47:20:199:638                      dronePositionX                                 15
  09-12-2023 05:47:20:304:754                          user input                                 -1
  09-12-2023 05:47:20:304:885               passed input to drone                                 -
   09-12-2023 05:47:20:305:10         passed window size to drone                                 -
   09-12-2023 05:47:20:305:75                            yMax_now                                 53
  09-12-2023 05:47:20:305:134                            xMax_now                                100
