                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  06-12-2023 23:19:13:430:785                Created dronepidfifo                                 -
  06-12-2023 23:19:16:655:534                 Opened dronepidfifo                                 -
  06-12-2023 23:19:16:655:602                           Drone PID                              22768
  06-12-2023 23:19:16:655:655                 Opened sem_watchdog                                 -
  06-12-2023 23:19:16:655:700                 Opened shm_watchdog                                 -
  06-12-2023 23:19:16:655:903               received watchdog pid                                 -
  06-12-2023 23:19:16:655:946                        Watchdog PID                              22752
   06-12-2023 23:19:16:656:20               Opened keypressedfifo                                 -
   06-12-2023 23:19:16:656:68                   Opened sem_window                                 -
  06-12-2023 23:19:16:656:170                   Opened shm_window                                 -
  06-12-2023 23:19:16:656:242                    Opened sem_drone                                 -
  06-12-2023 23:19:16:656:288                    Opened shm_drone                                 -
  06-12-2023 23:19:16:666:438                            keyvalue                                  0
  06-12-2023 23:19:16:666:528                           droneMaxY                                  0
  06-12-2023 23:19:16:666:569                           droneMaxX                                  0
  06-12-2023 23:19:16:666:608                      DronePositionY                                 15
  06-12-2023 23:19:16:666:647                      DronePositionY                                 15
  06-12-2023 23:19:16:666:685                              ForceY                                  0
  06-12-2023 23:19:16:666:722                              forceX                                  0
  06-12-2023 23:19:16:666:770                 Sent dronepos to UI                                 -
  06-12-2023 23:19:16:766:931                            keyvalue                                 -1
   06-12-2023 23:19:16:767:13                           droneMaxY                                 26
   06-12-2023 23:19:16:767:66                           droneMaxX                                 98
  06-12-2023 23:19:16:767:117                      DronePositionY                                 15
  06-12-2023 23:19:16:767:167                      DronePositionY                                 15
  06-12-2023 23:19:16:767:216                              ForceY                                  0
  06-12-2023 23:19:16:767:267                              forceX                                  0
  06-12-2023 23:19:16:767:325                 Sent dronepos to UI                                 -
  06-12-2023 23:19:16:867:445                            keyvalue                                 -1
  06-12-2023 23:19:16:867:477                           droneMaxY                                 26
  06-12-2023 23:19:16:867:498                           droneMaxX                                 98
  06-12-2023 23:19:16:867:520                      DronePositionY                                 15
  06-12-2023 23:19:16:867:541                      DronePositionY                                 15
  06-12-2023 23:19:16:867:562                              ForceY                                  0
  06-12-2023 23:19:16:867:583                              forceX                                  0
  06-12-2023 23:19:16:867:605                 Sent dronepos to UI                                 -
  06-12-2023 23:19:16:967:722                            keyvalue                                 -1
  06-12-2023 23:19:16:967:770                           droneMaxY                                 26
  06-12-2023 23:19:16:967:805                           droneMaxX                                 98
  06-12-2023 23:19:16:967:838                      DronePositionY                                 15
  06-12-2023 23:19:16:967:886                      DronePositionY                                 15
  06-12-2023 23:19:16:967:922                              ForceY                                  0
  06-12-2023 23:19:16:967:958                              forceX                                  0
  06-12-2023 23:19:16:967:990                 Sent dronepos to UI                                 -
   06-12-2023 23:19:17:70:417                            keyvalue                                 -1
   06-12-2023 23:19:17:70:517                           droneMaxY                                 26
   06-12-2023 23:19:17:70:603                           droneMaxX                                 98
   06-12-2023 23:19:17:70:699                      DronePositionY                                 15
   06-12-2023 23:19:17:70:796                      DronePositionY                                 15
   06-12-2023 23:19:17:70:892                              ForceY                                  0
   06-12-2023 23:19:17:70:982                              forceX                                  0
    06-12-2023 23:19:17:71:68                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:177:478                            keyvalue                                 -1
  06-12-2023 23:19:17:177:595                           droneMaxY                                 26
  06-12-2023 23:19:17:177:711                           droneMaxX                                 98
  06-12-2023 23:19:17:177:826                      DronePositionY                                 15
  06-12-2023 23:19:17:177:930                      DronePositionY                                 15
   06-12-2023 23:19:17:178:24                              ForceY                                  0
  06-12-2023 23:19:17:178:119                              forceX                                  0
  06-12-2023 23:19:17:178:216                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:281:363                            keyvalue                                 -1
  06-12-2023 23:19:17:281:471                           droneMaxY                                 26
  06-12-2023 23:19:17:281:573                           droneMaxX                                 98
  06-12-2023 23:19:17:281:670                      DronePositionY                                 15
  06-12-2023 23:19:17:281:767                      DronePositionY                                 15
  06-12-2023 23:19:17:281:856                              ForceY                                  0
  06-12-2023 23:19:17:281:944                              forceX                                  0
   06-12-2023 23:19:17:282:27                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:385:393                            keyvalue                                 -1
  06-12-2023 23:19:17:385:513                           droneMaxY                                 26
  06-12-2023 23:19:17:385:629                           droneMaxX                                 98
  06-12-2023 23:19:17:385:734                      DronePositionY                                 15
  06-12-2023 23:19:17:385:835                      DronePositionY                                 15
  06-12-2023 23:19:17:385:930                              ForceY                                  0
   06-12-2023 23:19:17:386:30                              forceX                                  0
  06-12-2023 23:19:17:386:121                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:490:173                            keyvalue                                 -1
  06-12-2023 23:19:17:490:296                           droneMaxY                                 26
  06-12-2023 23:19:17:490:469                           droneMaxX                                 98
  06-12-2023 23:19:17:490:586                      DronePositionY                                 15
  06-12-2023 23:19:17:490:698                      DronePositionY                                 15
  06-12-2023 23:19:17:490:846                              ForceY                                  0
  06-12-2023 23:19:17:490:958                              forceX                                  0
   06-12-2023 23:19:17:491:60                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:594:916                            keyvalue                                 -1
   06-12-2023 23:19:17:595:37                           droneMaxY                                 26
  06-12-2023 23:19:17:595:153                           droneMaxX                                 98
  06-12-2023 23:19:17:595:264                      DronePositionY                                 15
  06-12-2023 23:19:17:595:365                      DronePositionY                                 15
  06-12-2023 23:19:17:595:460                              ForceY                                  0
  06-12-2023 23:19:17:595:551                              forceX                                  0
  06-12-2023 23:19:17:595:642                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:699:108                            keyvalue                                 -1
  06-12-2023 23:19:17:699:217                           droneMaxY                                 26
  06-12-2023 23:19:17:699:319                           droneMaxX                                 98
  06-12-2023 23:19:17:699:419                      DronePositionY                                 15
  06-12-2023 23:19:17:699:519                      DronePositionY                                 15
  06-12-2023 23:19:17:699:605                              ForceY                                  0
  06-12-2023 23:19:17:699:692                              forceX                                  0
  06-12-2023 23:19:17:699:777                 Sent dronepos to UI                                 -
    06-12-2023 23:19:17:803:5                            keyvalue                                 -1
  06-12-2023 23:19:17:803:103                           droneMaxY                                 26
  06-12-2023 23:19:17:803:207                           droneMaxX                                 98
  06-12-2023 23:19:17:803:298                      DronePositionY                                 15
  06-12-2023 23:19:17:803:386                      DronePositionY                                 15
  06-12-2023 23:19:17:803:469                              ForceY                                  0
  06-12-2023 23:19:17:803:550                              forceX                                  0
  06-12-2023 23:19:17:803:626                 Sent dronepos to UI                                 -
  06-12-2023 23:19:17:906:715                            keyvalue                                 -1
  06-12-2023 23:19:17:906:823                           droneMaxY                                 26
  06-12-2023 23:19:17:906:924                           droneMaxX                                 98
   06-12-2023 23:19:17:907:25                      DronePositionY                                 15
  06-12-2023 23:19:17:907:126                      DronePositionY                                 15
  06-12-2023 23:19:17:907:214                              ForceY                                  0
  06-12-2023 23:19:17:907:297                              forceX                                  0
  06-12-2023 23:19:17:907:383                 Sent dronepos to UI                                 -
   06-12-2023 23:19:18:11:163                            keyvalue                                 -1
   06-12-2023 23:19:18:11:281                           droneMaxY                                 26
   06-12-2023 23:19:18:11:397                           droneMaxX                                 98
   06-12-2023 23:19:18:11:511                      DronePositionY                                 15
   06-12-2023 23:19:18:11:643                      DronePositionY                                 15
   06-12-2023 23:19:18:11:794                              ForceY                                  0
   06-12-2023 23:19:18:11:891                              forceX                                  0
   06-12-2023 23:19:18:11:981                 Sent dronepos to UI                                 -
  06-12-2023 23:19:18:117:195                            keyvalue                                 -1
  06-12-2023 23:19:18:117:235                           droneMaxY                                 26
  06-12-2023 23:19:18:117:273                           droneMaxX                                 98
  06-12-2023 23:19:18:117:309                      DronePositionY                                 15
  06-12-2023 23:19:18:117:345                      DronePositionY                                 15
  06-12-2023 23:19:18:117:378                              ForceY                                  0
