                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
  09-12-2023 05:47:18:795:104               Created serverpidfifo                                 -
    09-12-2023 05:47:19:6:655                Opened serverpidfifo                                 -
    09-12-2023 05:47:19:6:722                sent pid to watchdog                                 -
    09-12-2023 05:47:19:6:770                 Opened sem_watchdog                                 -
    09-12-2023 05:47:19:6:814                 Opened shm_watchdog                                 -
   09-12-2023 05:47:19:439:22               received watchdog pid                                 -
   09-12-2023 05:47:19:439:70                        watchdog_pid                             177984
  09-12-2023 05:47:19:439:124                  Created sem_window                                 -
  09-12-2023 05:47:19:439:165                  Created shm_window                                 -
  09-12-2023 05:47:19:439:233                   Created sem_drone                                 -
  09-12-2023 05:47:19:439:273                   Created shm_drone                                 -
  09-12-2023 05:47:19:539:476            Server performed 1 cycle                                 -
  09-12-2023 05:47:19:639:788            Server performed 1 cycle                                 -
   09-12-2023 05:47:19:740:13            Server performed 1 cycle                                 -
  09-12-2023 05:47:19:840:291            Server performed 1 cycle                                 -
  09-12-2023 05:47:19:940:544            Server performed 1 cycle                                 -
   09-12-2023 05:47:20:40:835            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:141:118            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:241:406            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:341:717            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:442:417            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:542:692            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:643:211            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:743:503            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:843:724            Server performed 1 cycle                                 -
  09-12-2023 05:47:20:943:971            Server performed 1 cycle                                 -
   09-12-2023 05:47:21:44:194            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:144:852            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:245:423            Server performed 1 cycle                                 -
    09-12-2023 05:47:21:346:7            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:446:713            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:547:380            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:647:851            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:748:662            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:849:213            Server performed 1 cycle                                 -
  09-12-2023 05:47:21:949:843            Server performed 1 cycle                                 -
   09-12-2023 05:47:22:50:224            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:150:930            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:251:643            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:351:937            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:439:550            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:539:796            Server performed 1 cycle                                 -
   09-12-2023 05:47:22:640:72            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:740:375            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:740:849            Server performed 1 cycle                                 -
   09-12-2023 05:47:22:841:95            Server performed 1 cycle                                 -
  09-12-2023 05:47:22:941:291            Server performed 1 cycle                                 -
   09-12-2023 05:47:23:41:732            Server performed 1 cycle                                 -
