                     DATE/TIME                   MESSAGE/VARIABLE                               DATA
    09-12-2023 05:47:19:6:617                Opened serverpidfifo                                 -
    09-12-2023 05:47:19:6:657                    Opened UIpidfifo                                 -
    09-12-2023 05:47:19:6:692                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:6:819                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:6:926                 error: dronepidfifo          No such file or directory
     09-12-2023 05:47:19:7:25                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:120                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:218                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:304                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:402                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:508                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:604                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:702                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:797                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:899                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:7:994                 error: dronepidfifo          No such file or directory
     09-12-2023 05:47:19:8:87                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:179                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:270                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:366                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:460                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:557                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:647                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:739                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:832                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:8:926                 error: dronepidfifo          No such file or directory
     09-12-2023 05:47:19:9:20                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:117                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:211                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:307                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:399                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:494                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:588                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:685                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:780                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:874                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:9:970                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:10:64                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:160                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:254                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:363                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:460                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:558                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:652                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:748                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:842                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:10:939                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:11:33                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:131                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:226                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:305                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:406                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:503                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:598                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:694                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:809                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:906                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:11:998                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:12:89                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:180                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:270                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:361                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:452                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:544                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:634                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:726                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:816                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:907                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:12:998                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:13:88                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:179                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:270                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:362                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:452                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:541                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:631                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:721                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:810                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:900                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:13:990                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:14:79                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:185                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:291                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:398                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:503                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:596                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:686                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:775                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:865                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:14:960                 error: dronepidfifo          No such file or directory
    09-12-2023 05:47:19:15:63                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:15:165                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:15:275                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:15:413                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:15:535                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:15:646                 error: dronepidfifo          No such file or directory
   09-12-2023 05:47:19:15:751                 error: dronepidfifo          No such file or directory
